pop	country	latitude	longitude	PCR_free	PCR
Adygei	Europe	44	39	11	3
Balochi	Central&SouthAsia	30.5	66.5	19	3
BantuKenya	Africa	-3	37	0	9
BantuSouthAfrica	Africa	-25.6	24.25	1	3
Basque	Europe	43	0	21	0
Bedouin	MiddleEast	31	35	41	3
BergamoItalian	Europe	46	10	10	0
Biaka	Africa	4	17	3	17
Bougainville	Oceania	-6	155	5	4
Brahui	Central&SouthAsia	30.5	66.5	20	3
Burusho	Central&SouthAsia	36.5	74	19	3
Cambodian	EastAsia	12	105	4	3
Colombian	America	3	-68	3	2
Dai	EastAsia	21	100	4	0
Daur	EastAsia	48.5	124	5	3
Druze	MiddleEast	32	35	37	3
French	Europe	46	2	24	0
Han	EastAsia	32.3	114	29	0
Hazara	Central&SouthAsia	33.5	70	13	4
Hezhen	EastAsia	47.5	133.5	7	0
Japanese	EastAsia	37.5	139	25	0
Kalash	Central&SouthAsia	36	71.5	17	3
Karitiana	America	-10	-63	6	2
Lahu	EastAsia	22	100	6	0
Makrani	Central&SouthAsia	26	64	20	3
Mandenka	Africa	12	-12	5	13
Maya	America	19	-91	17	2
Mbuti	Africa	1	29	1	7
Miao	EastAsia	28	109	5	3
Mongolian	EastAsia	48.5	119	5	2
Mozabite	MiddleEast	32	3	22	3
Naxi	EastAsia	26	100	6	0
NorthernHan	EastAsia	34.7	107.8	10	0
Orcadian	Europe	59	-3	13	0
Oroqen	EastAsia	50.4	126.5	7	0
Palestinian	MiddleEast	32	35	40	3
PapuanHighlands	Oceania	-6.1	145.4	4	2
PapuanSepik	Oceania	-4	143	2	5
Pathan	Central&SouthAsia	33.5	70.5	19	3
Pima	America	29	-108	8	3
Russian	Europe	61	40	23	0
San	Africa	-21	20	1	1
Sardinian	Europe	40	9	24	0
She	EastAsia	27	119	8	0
Sindhi	Central&SouthAsia	25.5	69	19	3
Surui	America	-11	-62	3	3
Tu	EastAsia	36	101	8	0
Tujia	EastAsia	29	109	5	2
Tuscan	Europe	43	11	6	0
Uygur	Central&SouthAsia	44	81	5	3
Xibo	EastAsia	43.5	81.5	4	3
Yakut	EastAsia	63	129.5	20	3
Yi	EastAsia	28	103	8	0
Yoruba	Africa	8	5	1	17
