familyname	maxgap	sex
6kbHsap	38.29221504716503	female
6kbHsap	14.305408040304997	male
ALINE	0.010726562030998005	female
ALINE	0.04498124595217598	male
ALR	3634.4100166688986	female
ALR	4085.7485787900987	male
ALR_	10900.307312044395	female
ALR_	11895.763981432498	male
ALR1	6718.670321960104	female
ALR1	10639.0457548079	male
ALR2	100.30251176239017	female
ALR2	134.69797195006004	male
ALRa	25.29188476444699	female
ALRa	16.89484200738599	male
ALRa_	70.16209002978985	female
ALRa_	118.17155197687998	male
ALRb	2335.696253131995	female
ALRb	3383.2388576831	male
ALU	11590.062689968006	female
ALU	7674.149549260997	male
AmnSINE1_HS	0.06094026599496105	female
AmnSINE1_HS	1.83049414224904	male
BLACKJACK	0.054998205063280015	female
BLACKJACK	0.041601365013860025	male
BSRb	0.05388964367327409	female
BSRb	0.04469806381390895	male
BSRd	0.0042901466473707	female
BSRd	0.0027241789926344	male
BSRf	0.8062156357595001	female
BSRf	0.2526632768084003	male
CER	29.817785780002964	female
CER	14.804088448748985	male
CHARLIE1	0.25748769074909994	female
CHARLIE1	0.3481654826747018	male
CHARLIE10	0.053101556922969806	female
CHARLIE10	0.10950636220843002	male
Charlie11	0.031005963071663034	female
Charlie11	0.02002572999469404	male
Charlie12	0.19314851979818037	female
Charlie12	0.2901732434851292	male
Charlie13a	0.012513363960106993	female
Charlie13a	0.014257560788349	male
Charlie13b	0.043293643137040094	female
Charlie13b	0.030554597017659946	male
Charlie15a	0.026578311488891004	female
Charlie15a	0.0311970146319666	male
Charlie16a	0.03558640199726004	female
Charlie16a	0.05580746515608004	male
Charlie17a	0.04360310457800198	female
Charlie17a	0.014738124012678044	male
Charlie18a	0.10303346492646104	female
Charlie18a	0.029110714708350027	male
Charlie19a	0.08833605651128007	female
Charlie19a	0.058313218316499826	male
CHARLIE1A	0.18534990563430043	female
CHARLIE1A	0.1853303617057005	male
CHARLIE1B	0.15001603808166974	female
CHARLIE1B	0.09966209716021002	male
CHARLIE2	0.00414224328905799	female
CHARLIE2	0.006940280045691999	male
Charlie21a	0.013630919416828036	female
Charlie21a	0.057498435846127016	male
Charlie22a	0.05638788830610297	female
Charlie22a	0.04204119969194997	male
Charlie24	0.004977097354606025	female
Charlie24	0.006631700968588006	male
Charlie25	0.015266071050241997	female
Charlie25	0.0029904540707759997	male
Charlie26a	0.034186194221170974	female
Charlie26a	0.011212514281020991	male
Charlie27	0.014704724705278005	female
Charlie27	0.01124144627455298	male
Charlie28	0.05233077103595202	female
Charlie28	0.026552146078409944	male
CHARLIE2A	0.008687024830049017	female
CHARLIE2A	0.01949945581396706	male
CHARLIE2B	0.0198604502090738	female
CHARLIE2B	0.004316090224424793	male
CHARLIE3	0.9188293034561923	female
CHARLIE3	1.1868387088693026	male
CHARLIE4	0.04245496114376701	female
CHARLIE4	0.11347475779819494	male
CHARLIE5	0.7602050405813969	female
CHARLIE5	0.3028169980076001	male
CHARLIE6	0.034132199355489945	female
CHARLIE6	0.053829019439409986	male
CHARLIE7	0.04413740010008005	female
CHARLIE7	0.04459986033441998	male
CHARLIE8	0.06484339562425001	female
CHARLIE8	0.06651117371044002	male
CHARLIE8A	0.0019848511802269	female
CHARLIE8A	0.0011920674859364	male
CHARLIE9	0.2668974685887502	female
CHARLIE9	0.039895956962600065	male
CHESHIRE	0.12384113156639032	female
CHESHIRE	0.07016502007320025	male
CHESHIRE_A	0.7468065749674047	female
CHESHIRE_A	0.7126643500557002	male
CR1_HS	0.0	female
CR1_HS	0.0	male
CR1_Mam	0.008026386915480993	female
CR1_Mam	0.0054558953928889875	male
DNA1_Mam	0.009517569679593996	female
DNA1_Mam	0.01670672975642501	male
ERV24_Prim	0.061131975911949965	female
ERV24_Prim	0.03600133962660035	male
ERV24B_Prim	0.03251561541625003	female
ERV24B_Prim	0.01831006428938009	male
ERV3-16A3_I	0.012033094907710096	female
