study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2580809	ERX1323898	ERR1252289	84006956	12685050356	HGDP00460
PRJEB6463	SAMEA2580910	ERX1323899	ERR1252290	68256404	10306717004	HGDP00777
PRJEB6463	SAMEA2580921	ERX1323900	ERR1252291	75144914	11346882014	HGDP00812
PRJEB6463	SAMEA2580929	ERX1323901	ERR1252292	73571500	11109296500	HGDP00821
PRJEB6463	SAMEA2580937	ERX1323902	ERR1252293	73828162	11148052462	HGDP00977
PRJEB6463	SAMEA2580945	ERX1323903	ERR1252294	86586074	13074497174	HGDP01291
PRJEB6463	SAMEA2580957	ERX1323904	ERR1252295	70845220	10697628220	HGDP01313
PRJEB6463	SAMEA2580969	ERX1323905	ERR1252296	71433838	10786509538	HGDP01337
PRJEB6463	SAMEA2580981	ERX1323906	ERR1252297	66650018	10064152718	HGDP01330
PRJEB6463	SAMEA2580992	ERX1323907	ERR1252298	73552220	11106385220	HGDP01183
PRJEB6463	SAMEA2581005	ERX1323908	ERR1252299	75566694	11410570794	HGDP01196
PRJEB6463	SAMEA2581019	ERX1323909	ERR1252300	76278842	11518105142	HGDP01348
PRJEB6463	SAMEA2580841	ERX1323910	ERR1252301	79873110	12060839610	HGDP01029
PRJEB6463	SAMEA2580913	ERX1323911	ERR1252302	76283364	11518787964	HGDP00780
PRJEB6463	SAMEA2580923	ERX1323912	ERR1252303	73858676	11152660076	HGDP00814
PRJEB6463	SAMEA2580931	ERX1323913	ERR1252304	69686212	10522618012	HGDP00971
PRJEB6463	SAMEA2580939	ERX1323914	ERR1252305	74748642	11287044942	HGDP01023
PRJEB6463	SAMEA2580947	ERX1323915	ERR1252306	71850892	10849484692	HGDP01293
PRJEB6463	SAMEA2580961	ERX1323916	ERR1252307	69850546	10547432446	HGDP01317
PRJEB6463	SAMEA2580973	ERX1323917	ERR1252308	72017930	10874707430	HGDP01341
PRJEB6463	SAMEA2580983	ERX1323918	ERR1252309	70847922	10698036222	HGDP01332
PRJEB6463	SAMEA2580994	ERX1323919	ERR1252310	75519752	11403482552	HGDP01185
PRJEB6463	SAMEA2581013	ERX1323920	ERR1252311	77013332	11629013132	HGDP01100
PRJEB6463	SAMEA2581022	ERX1323921	ERR1252312	72596928	10962136128	HGDP01351
PRJEB6463	SAMEA2580837	ERX1323922	ERR1252313	67646374	10214602474	HGDP01081
PRJEB6463	SAMEA2580912	ERX1323923	ERR1252314	67340642	10168436942	HGDP00779
PRJEB6463	SAMEA2580922	ERX1323924	ERR1252315	65636050	9911043550	HGDP00813
PRJEB6463	SAMEA2580930	ERX1323925	ERR1252316	125264018	18914866718	HGDP00822
PRJEB6463	SAMEA2580938	ERX1323926	ERR1252317	66800970	10086946470	HGDP01021
PRJEB6463	SAMEA2580946	ERX1323927	ERR1252318	65828698	9940133398	HGDP01292
PRJEB6463	SAMEA2580960	ERX1323928	ERR1252319	86239566	13022174466	HGDP01316
PRJEB6463	SAMEA2580972	ERX1323929	ERR1252320	63789680	9632241680	HGDP01340
PRJEB6463	SAMEA2580982	ERX1323930	ERR1252321	64802046	9785108946	HGDP01331
PRJEB6463	SAMEA2580993	ERX1323931	ERR1252322	56155200	8479435200	HGDP01184
PRJEB6463	SAMEA2581006	ERX1323932	ERR1252323	66163200	9990643200	HGDP01197
PRJEB6463	SAMEA2581020	ERX1323933	ERR1252324	71941330	10863140830	HGDP01349
